Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary,time_bucket,is_in_south_africa,is_main_home_stadium
Stormers,Leinster,"Fri 26th September 2025, 07:00pm SAST",DHL Stadium,35.0,0.0,6.0,0.0,20.6,0.0,41.4,0.0,Clear,evening,True,True
Ulster,Dragons RFC,"Fri 26th September 2025, 09:05pm SAST",Affidea Stadium,42.0,21.0,28.0,14.0,12.0,0.0,63.0,3.0,Overcast,evening,False,True
Glasgow Warriors,Sharks,"Fri 26th September 2025, 09:05pm SAST",Scotstoun Stadium,35.0,19.0,14.0,12.0,11.4,0.0,38.5,3.0,Overcast,evening,False,True
Bulls,Ospreys,"Sat 27th September 2025, 02:00pm SAST",Loftus Versfeld,53.0,40.0,19.0,26.0,22.2,1.0,26.6,55.0,Drizzle: dense,early_afternoon,True,True
Zebre,Edinburgh,"Sat 27th September 2025, 04:05pm SAST",Stadio Sergio Lanfranchi,31.0,28.0,21.0,14.0,15.7,1.9,14.0,61.0,Rain: slight,late_afternoon,False,True
Scarlets,Munster,"Sat 27th September 2025, 06:30pm SAST",Parc y Scarlets,21.0,34.0,0.0,13.0,14.5,0.6,65.9,53.0,Drizzle: moderate,late_afternoon,False,True
Cardiff,Lions,"Sat 27th September 2025, 08:45pm SAST",Cardiff Arms Park,33.0,20.0,14.0,13.0,14.4,0.0,51.5,3.0,Overcast,evening,False,True
Connacht,Benetton,"Sat 27th September 2025, 08:45pm SAST",Dexcom Stadium,26.0,15.0,12.0,3.0,10.8,0.0,37.1,3.0,Overcast,evening,False,True
Edinburgh,Ulster,"Fri 3rd October 2025, 02:00am SAST",Hive Stadium,,,,,15.1,0.2,90.4,51.0,Drizzle: light,evening,False,True
Stormers,Ospreys,"Fri 3rd October 2025, 07:00pm SAST",DHL Stadium,26.0,10.0,8.0,10.0,21.7,0.0,49.7,0.0,Clear,evening,True,True
Dragons RFC,Sharks,"Fri 3rd October 2025, 09:05pm SAST",Rodney Parade,17.0,17.0,14.0,17.0,17.5,1.7,139.7,61.0,Rain: slight,evening,False,True
Connacht,Scarlets,"Sat 4th October 2025, 02:00am SAST",Dexcom Stadium,,,,,9.4,0.5,147.6,53.0,Drizzle: moderate,evening,False,True
Benetton,Glasgow Warriors,"Sat 4th October 2025, 06:30pm SAST",Stadio Comunale di Monigo,16.0,14.0,3.0,14.0,14.2,0.0,31.0,3.0,Overcast,evening,False,True
Bulls,Leinster,"Sat 4th October 2025, 06:30pm SAST",Loftus Versfeld,39.0,31.0,22.0,10.0,20.0,0.0,25.2,2.0,Partly cloudy,evening,True,True
Munster,Cardiff,"Sat 4th October 2025, 08:45pm SAST",Thomond Park,23.0,20.0,5.0,5.0,11.9,0.0,98.3,1.0,Mainly clear,evening,False,True
Zebre,Lions,"Sun 5th October 2025, 04:00pm SAST",Stadio Sergio Lanfranchi,22.0,20.0,12.0,3.0,14.9,0.0,62.6,0.0,Clear,late_afternoon,False,True
Munster,Edinburgh,"Fri 10th October 2025, 08:45pm SAST",Virgin Media Park,20.0,19.0,10.0,12.0,11.0,0.0,11.9,3.0,Overcast,evening,False,False
Scarlets,Stormers,"Fri 10th October 2025, 08:45pm SAST",Parc y Scarlets,0.0,34.0,0.0,17.0,13.3,0.0,28.8,3.0,Overcast,evening,False,True
Benetton,Lions,"Sat 11th October 2025, 04:00pm SAST",Stadio Comunale di Monigo,41.0,15.0,24.0,10.0,20.6,0.0,22.0,3.0,Overcast,late_afternoon,False,True
Ospreys,Zebre,"Sat 11th October 2025, 04:00pm SAST",Brewery Field,24.0,0.0,14.0,0.0,14.5,0.0,35.3,3.0,Overcast,early_afternoon,False,False
Glasgow Warriors,Dragons RFC,"Sat 11th October 2025, 06:30pm SAST",Scotstoun Stadium,49.0,0.0,14.0,0.0,14.1,0.0,27.7,1.0,Mainly clear,late_afternoon,False,True
Leinster,Sharks,"Sat 11th October 2025, 06:30pm SAST",Aviva Stadium,31.0,5.0,21.0,5.0,10.7,0.0,11.2,3.0,Overcast,late_afternoon,False,True
Ulster,Bulls,"Sat 11th October 2025, 08:45pm SAST",Affidea Stadium,28.0,7.0,7.0,7.0,9.0,0.0,2.5,3.0,Overcast,evening,False,True
Cardiff,Connacht,"Sat 11th October 2025, 08:45pm SAST",Cardiff Arms Park,14.0,8.0,7.0,3.0,11.4,0.0,27.7,2.0,Partly cloudy,evening,False,True
Edinburgh,Benetton,"Fri 17th October 2025, 08:45pm SAST",Hive Stadium,43.0,0.0,21.0,0.0,9.2,0.0,26.3,2.0,Partly cloudy,evening,False,True
Connacht,Bulls,"Fri 17th October 2025, 08:45pm SAST",Dexcom Stadium,27.0,28.0,7.0,12.0,12.3,0.0,54.7,3.0,Overcast,evening,False,True
Dragons RFC,Cardiff,"Fri 17th October 2025, 08:45pm SAST",Rodney Parade,17.0,24.0,7.0,17.0,13.5,0.0,45.0,3.0,Overcast,evening,False,True
Lions,Scarlets,"Sat 18th October 2025, 01:45pm SAST",Ellis Park,29.0,18.0,5.0,3.0,16.7,0.1,64.8,51.0,Drizzle: light,early_afternoon,True,True
Sharks,Ulster,"Sat 18th October 2025, 04:00pm SAST",Hollywoodbets Kings Park,26.0,34.0,5.0,20.0,23.6,0.0,108.7,3.0,Overcast,late_afternoon,True,True
Leinster,Munster,"Sat 18th October 2025, 06:15pm SAST",Croke Park,14.0,31.0,7.0,21.0,13.5,0.0,101.5,3.0,Overcast,late_afternoon,False,False
Zebre,Stormers,"Sat 18th October 2025, 08:45pm SAST",Stadio Sergio Lanfranchi,13.0,31.0,7.0,12.0,13.3,0.0,23.4,0.0,Clear,evening,False,True
Ospreys,Glasgow Warriors,"Sat 18th October 2025, 08:45pm SAST",Brewery Field,17.0,42.0,10.0,21.0,12.3,0.2,104.8,51.0,Drizzle: light,evening,False,False
Glasgow Warriors,Bulls,"Fri 24th October 2025, 08:45pm SAST",Scotstoun Stadium,21.0,12.0,7.0,5.0,9.1,0.0,62.6,3.0,Overcast,evening,False,True
Lions,Ulster,"Sat 25th October 2025, 01:45pm SAST",Ellis Park,49.0,31.0,17.0,19.0,28.3,0.0,46.8,0.0,Clear,early_afternoon,True,True
Sharks,Scarlets,"Sat 25th October 2025, 04:00pm SAST",Hollywoodbets Kings Park,29.0,19.0,19.0,14.0,27.3,0.0,63.0,0.0,Clear,late_afternoon,True,True
Leinster,Zebre,"Sat 25th October 2025, 06:30pm SAST",Aviva Stadium,50.0,26.0,26.0,21.0,9.0,0.0,77.8,1.0,Mainly clear,late_afternoon,False,True
Benetton,Stormers,"Sat 25th October 2025, 06:30pm SAST",Stadio Comunale di Monigo,16.0,31.0,16.0,8.0,12.8,0.0,14.4,2.0,Partly cloudy,evening,False,True
Dragons RFC,Ospreys,"Sat 25th October 2025, 06:30pm SAST",Rodney Parade,19.0,19.0,7.0,12.0,8.8,0.0,70.2,1.0,Mainly clear,late_afternoon,False,True
Munster,Connacht,"Sat 25th October 2025, 08:45pm SAST",Thomond Park,17.0,15.0,12.0,15.0,8.6,0.0,70.6,0.0,Clear,evening,False,True
Cardiff,Edinburgh,"Sat 25th October 2025, 08:45pm SAST",Cardiff Arms Park,20.0,19.0,12.0,19.0,7.8,0.0,52.6,2.0,Partly cloudy,evening,False,True
Ulster,Benetton,"Fri 28th November 2025, 09:45pm SAST",Affidea Stadium,,,,,,,,,,evening,False,True
Dragons RFC,Leinster,"Fri 28th November 2025, 09:45pm SAST",Rodney Parade,,,,,,,,,,evening,False,True
Bulls,Lions,"Sat 29th November 2025, 02:00pm SAST",Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
Zebre,Cardiff,"Sat 29th November 2025, 03:00pm SAST",Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
Munster,Stormers,"Sat 29th November 2025, 07:30pm SAST",Thomond Park,,,,,,,,,,late_afternoon,False,True
Edinburgh,Ospreys,"Sat 29th November 2025, 07:30pm SAST",Hive Stadium,,,,,,,,,,late_afternoon,False,True
Connacht,Sharks,"Sat 29th November 2025, 09:45pm SAST",Dexcom Stadium,,,,,,,,,,evening,False,True
Scarlets,Glasgow Warriors,"Sat 29th November 2025, 09:45pm SAST",Parc y Scarlets,,,,,,,,,,evening,False,True
Cardiff,Scarlets,"Fri 19th December 2025, 09:45pm SAST",Cardiff Arms Park,,,,,,,,,,evening,False,True
Leinster,Ulster,"Fri 19th December 2025, 09:45pm SAST",Aviva Stadium,,,,,,,,,,evening,False,True
Stormers,Lions,"Sat 20th December 2025, 03:30pm SAST",DHL Stadium,,,,,,,,,,late_afternoon,True,True
Benetton,Zebre,"Sat 20th December 2025, 04:00pm SAST",Stadio Comunale di Monigo,,,,,,,,,,late_afternoon,False,True
Glasgow Warriors,Edinburgh,"Sat 20th December 2025, 05:00pm SAST",Hampden Park,,,,,,,,,,late_afternoon,False,False
Sharks,Bulls,"Sat 20th December 2025, 06:00pm SAST",Hollywoodbets Kings Park,,,,,,,,,,evening,True,True
Ospreys,Munster,"Sat 20th December 2025, 07:30pm SAST",Brewery Field,,,,,,,,,,late_afternoon,False,False
Dragons RFC,Connacht,"Sat 20th December 2025, 09:45pm SAST",Rodney Parade,,,,,,,,,,evening,False,True
Cardiff,Dragons RFC,"Fri 26th December 2025, 05:00pm SAST",Cardiff Arms Park,,,,,,,,,,late_afternoon,False,True
Scarlets,Ospreys,"Fri 26th December 2025, 07:30pm SAST",Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
Zebre,Benetton,"Sat 27th December 2025, 04:30pm SAST",Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
Edinburgh,Glasgow Warriors,"Sat 27th December 2025, 05:00pm SAST",Scottish Gas Murrayfield,,,,,,,,,,late_afternoon,False,False
Connacht,Ulster,"Sat 27th December 2025, 07:30pm SAST",Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
Munster,Leinster,"Sat 27th December 2025, 09:45pm SAST",Thomond Park,,,,,,,,,,evening,False,True
Dragons RFC,Scarlets,"Thu 1st January 2026, 05:00pm SAST",Rodney Parade,,,,,,,,,,late_afternoon,False,True
Ospreys,Cardiff,"Thu 1st January 2026, 07:30pm SAST",Brewery Field,,,,,,,,,,late_afternoon,False,False
Ulster,Munster,"Fri 2nd January 2026, 09:45pm SAST",Affidea Stadium,,,,,,,,,,evening,False,True
Sharks,Lions,"Sat 3rd January 2026, 03:30pm SAST",Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
Stormers,Bulls,"Sat 3rd January 2026, 06:00pm SAST",DHL Stadium,,,,,,,,,,evening,True,True
Benetton,Edinburgh,"Sat 3rd January 2026, 07:30pm SAST",Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
Leinster,Connacht,"Sat 3rd January 2026, 07:30pm SAST",Aviva Stadium,,,,,,,,,,late_afternoon,False,True
Glasgow Warriors,Zebre,"Sat 3rd January 2026, 09:45pm SAST",Scotstoun Stadium,,,,,,,,,,evening,False,True
Ospreys,Lions,"Fri 23rd January 2026, 09:45pm SAST",Brewery Field,,,,,,,,,,evening,False,False
Edinburgh,Bulls,"Fri 23rd January 2026, 09:45pm SAST",Hive Stadium,,,,,,,,,,evening,False,True
Munster,Dragons RFC,"Fri 23rd January 2026, 09:45pm SAST",Virgin Media Park,,,,,,,,,,evening,False,False
Scarlets,Ulster,"Sat 24th January 2026, 05:00pm SAST",Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
Connacht,Leinster,"Sat 24th January 2026, 07:30pm SAST",Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
Stormers,Sharks,"Sat 24th January 2026, 07:30pm SAST",DHL Stadium,,,,,,,,,,evening,True,True
Zebre,Glasgow Warriors,"Sat 24th January 2026, 09:45pm SAST",Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
Cardiff,Benetton,"Sat 24th January 2026, 09:45pm SAST",Cardiff Arms Park,,,,,,,,,,evening,False,True
Benetton,Scarlets,"Fri 30th January 2026, 09:45pm SAST",Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
Glasgow Warriors,Munster,"Fri 30th January 2026, 09:45pm SAST",Scotstoun Stadium,,,,,,,,,,evening,False,True
Lions,Bulls,"Sat 31st January 2026, 02:30pm SAST",Ellis Park,,,,,,,,,,early_afternoon,True,True
Sharks,Stormers,"Sat 31st January 2026, 05:00pm SAST",Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
Zebre,Connacht,"Sat 31st January 2026, 05:00pm SAST",Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
Leinster,Edinburgh,"Sat 31st January 2026, 07:30pm SAST",Aviva Stadium,,,,,,,,,,late_afternoon,False,True
Ospreys,Dragons RFC,"Sat 31st January 2026, 09:45pm SAST",Brewery Field,,,,,,,,,,evening,False,False
Ulster,Cardiff,"Sat 31st January 2026, 09:45pm SAST",Affidea Stadium,,,,,,,,,,evening,False,True
Lions,Sharks,"Sat 21st February 2026, 02:00pm SAST",Ellis Park,,,,,,,,,,early_afternoon,True,True
Edinburgh,Scarlets,"Fri 27th February 2026, 09:45pm SAST",Hive Stadium,,,,,,,,,,evening,False,True
Cardiff,Leinster,"Fri 27th February 2026, 09:45pm SAST",Cardiff Arms Park,,,,,,,,,,evening,False,True
Lions,Stormers,"Sat 28th February 2026, 02:30pm SAST",Ellis Park,,,,,,,,,,early_afternoon,True,True
Bulls,Sharks,"Sat 28th February 2026, 05:00pm SAST",Loftus Versfeld,,,,,,,,,,late_afternoon,True,True
Connacht,Glasgow Warriors,"Sat 28th February 2026, 05:00pm SAST",Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
Munster,Zebre,"Sat 28th February 2026, 07:30pm SAST",Thomond Park,,,,,,,,,,late_afternoon,False,True
Dragons RFC,Benetton,"Sat 28th February 2026, 07:30pm SAST",Rodney Parade,,,,,,,,,,late_afternoon,False,True
Ospreys,Ulster,"Sat 28th February 2026, 09:45pm SAST",Brewery Field,,,,,,,,,,evening,False,False
Bulls,Stormers,"Sat 14th March 2026, 02:00pm SAST",Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
Bulls,Cardiff,"Fri 20th March 2026, 07:00pm SAST",Loftus Versfeld,,,,,,,,,,evening,True,True
Scarlets,Zebre,"Fri 20th March 2026, 09:45pm SAST",Parc y Scarlets,,,,,,,,,,evening,False,True
Ulster,Connacht,"Fri 20th March 2026, 09:45pm SAST",Affidea Stadium,,,,,,,,,,evening,False,True
Lions,Edinburgh,"Sat 21st March 2026, 02:45pm SAST",Ellis Park,,,,,,,,,,early_afternoon,True,True
Sharks,Munster,"Sat 21st March 2026, 05:00pm SAST",Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
Benetton,Ospreys,"Sat 21st March 2026, 05:00pm SAST",Stadio Comunale di Monigo,,,,,,,,,,late_afternoon,False,True
Glasgow Warriors,Leinster,"Sat 21st March 2026, 07:30pm SAST",Scotstoun Stadium,,,,,,,,,,late_afternoon,False,True
Stormers,Dragons RFC,"Sat 21st March 2026, 07:30pm SAST",TBC,,,,,,,,,,late_afternoon,False,False
Sharks,Cardiff,"Fri 27th March 2026, 07:00pm SAST",Hollywoodbets Kings Park,,,,,,,,,,evening,True,True
Glasgow Warriors,Benetton,"Fri 27th March 2026, 09:45pm SAST",Scotstoun Stadium,,,,,,,,,,evening,False,True
Bulls,Munster,"Sat 28th March 2026, 02:00pm SAST",Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
Connacht,Ospreys,"Sat 28th March 2026, 04:15pm SAST",Dexcom Stadium,,,,,,,,,,early_afternoon,False,True
Lions,Dragons RFC,"Sat 28th March 2026, 04:30pm SAST",Ellis Park,,,,,,,,,,late_afternoon,True,True
Stormers,Edinburgh,"Sat 28th March 2026, 07:00pm SAST",DHL Stadium,,,,,,,,,,evening,True,True
Leinster,Scarlets,"Sat 28th March 2026, 07:30pm SAST",TBC,,,,,,,,,,late_afternoon,False,False
Zebre,Ulster,"Sat 28th March 2026, 09:45pm SAST",Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
Edinburgh,Zebre,"Fri 17th April 2026, 08:45pm SAST",Hive Stadium,,,,,,,,,,evening,False,True
Ulster,Leinster,"Fri 17th April 2026, 08:45pm SAST",Affidea Stadium,,,,,,,,,,evening,False,True
Dragons RFC,Bulls,"Fri 17th April 2026, 08:45pm SAST",Rodney Parade,,,,,,,,,,evening,False,True
Lions,Glasgow Warriors,"Sat 18th April 2026, 03:45pm SAST",Ellis Park,,,,,,,,,,late_afternoon,True,True
Stormers,Connacht,"Sat 18th April 2026, 06:15pm SAST",DHL Stadium,,,,,,,,,,evening,True,True
Scarlets,Cardiff,"Sat 18th April 2026, 06:30pm SAST",Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
Benetton,Munster,"Sat 18th April 2026, 08:45pm SAST",Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
Ospreys,Sharks,"Sat 18th April 2026, 08:45pm SAST",Brewery Field,,,,,,,,,,evening,False,False
Edinburgh,Sharks,"Fri 24th April 2026, 08:45pm SAST",Hive Stadium,,,,,,,,,,evening,False,True
Zebre,Dragons RFC,"Fri 24th April 2026, 08:45pm SAST",Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
Cardiff,Ospreys,"Fri 24th April 2026, 08:45pm SAST",Cardiff Arms Park,,,,,,,,,,evening,False,True
Lions,Connacht,"Sat 25th April 2026, 04:00pm SAST",Ellis Park,,,,,,,,,,late_afternoon,True,True
Stormers,Glasgow Warriors,"Sat 25th April 2026, 06:30pm SAST",DHL Stadium,,,,,,,,,,evening,True,True
Munster,Ulster,"Sat 25th April 2026, 06:30pm SAST",Thomond Park,,,,,,,,,,late_afternoon,False,True
Scarlets,Bulls,"Sat 25th April 2026, 08:45pm SAST",Parc y Scarlets,,,,,,,,,,evening,False,True
Benetton,Leinster,"Sat 25th April 2026, 08:45pm SAST",Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
Glasgow Warriors,Cardiff,"Fri 8th May 2026, 08:45pm SAST",Scotstoun Stadium,,,,,,,,,,evening,False,True
Ulster,Stormers,"Fri 8th May 2026, 08:45pm SAST",Affidea Stadium,,,,,,,,,,evening,False,True
Bulls,Zebre,"Sat 9th May 2026, 01:45pm SAST",Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
Sharks,Benetton,"Sat 9th May 2026, 04:00pm SAST",Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
Ospreys,Scarlets,"Sat 9th May 2026, 06:30pm SAST",Brewery Field,,,,,,,,,,late_afternoon,False,False
Leinster,Lions,"Sat 9th May 2026, 06:30pm SAST",TBC,,,,,,,,,,late_afternoon,False,False
Dragons RFC,Edinburgh,"Sat 9th May 2026, 08:45pm SAST",Rodney Parade,,,,,,,,,,evening,False,True
Connacht,Munster,"Sat 9th May 2026, 08:45pm SAST",Dexcom Stadium,,,,,,,,,,evening,False,True
Cardiff,Stormers,"Fri 15th May 2026, 08:45pm SAST",Cardiff Arms Park,,,,,,,,,,evening,False,True
Ulster,Glasgow Warriors,"Fri 15th May 2026, 08:45pm SAST",Affidea Stadium,,,,,,,,,,evening,False,True
Edinburgh,Connacht,"Fri 15th May 2026, 08:45pm SAST",Hive Stadium,,,,,,,,,,evening,False,True
Sharks,Zebre,"Sat 16th May 2026, 01:45pm SAST",Hollywoodbets Kings Park,,,,,,,,,,early_afternoon,True,True
Bulls,Benetton,"Sat 16th May 2026, 04:00pm SAST",Loftus Versfeld,,,,,,,,,,late_afternoon,True,True
Leinster,Ospreys,"Sat 16th May 2026, 06:15pm SAST",TBC,,,,,,,,,,late_afternoon,False,False
Scarlets,Dragons RFC,"Sat 16th May 2026, 06:15pm SAST",Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
Munster,Lions,"Sat 16th May 2026, 08:45pm SAST",Thomond Park,,,,,,,,,,evening,False,True
