Fulltime_score_home_predicted,Fulltime_score_away_predicted,Halftime_score_home_predicted,Halftime_score_away_predicted,Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary,time_bucket,is_in_south_africa,is_main_home_stadium
31.090559281637123,15.494454574587538,10.569984595418598,9.079988609619926,Stormers,Leinster,2025-09-26 19:00:00,DHL Stadium,35.0,0.0,6.0,0.0,20.6,0.0,41.4,0.0,Clear,evening,True,True
29.493964822071376,17.389156503086962,13.751326863042216,10.592397462527108,Ulster,Dragons RFC,2025-09-26 21:05:00,Affidea Stadium,42.0,21.0,28.0,14.0,12.0,0.0,63.0,3.0,Overcast,evening,False,True
27.878085678728738,15.785390114643672,11.661105007791528,9.63549485517605,Glasgow Warriors,Sharks,2025-09-26 21:05:00,Scotstoun Stadium,35.0,19.0,14.0,12.0,11.4,0.0,38.5,3.0,Overcast,evening,False,True
37.92542333151871,26.179119148039042,14.606387245446813,14.676610434487069,Bulls,Ospreys,2025-09-27 14:00:00,Loftus Versfeld,53.0,40.0,19.0,26.0,22.2,1.0,26.6,55.0,Drizzle: dense,early_afternoon,True,True
26.983816781442606,21.736873443506894,14.489801747096541,11.1405502633801,Zebre,Edinburgh,2025-09-27 16:05:00,Stadio Sergio Lanfranchi,31.0,28.0,21.0,14.0,15.7,1.9,14.0,61.0,Rain: slight,late_afternoon,False,True
24.426688518996464,23.486510907781668,9.3065354038069,12.060031860490442,Scarlets,Munster,2025-09-27 18:30:00,Parc y Scarlets,21.0,34.0,0.0,13.0,14.5,0.6,65.9,53.0,Drizzle: moderate,late_afternoon,False,True
25.47377925500112,18.74703733034936,11.414071732727974,11.177052248487618,Cardiff,Lions,2025-09-27 20:45:00,Cardiff Arms Park,33.0,20.0,14.0,13.0,14.4,0.0,51.5,3.0,Overcast,evening,False,True
27.05240142951707,15.9338412407564,12.001717465953522,8.44277063325405,Connacht,Benetton,2025-09-27 20:45:00,Dexcom Stadium,26.0,15.0,12.0,3.0,10.8,0.0,37.1,3.0,Overcast,evening,False,True
,,,,Edinburgh,Ulster,2025-10-03 02:00:00,Hive Stadium,,,,,15.1,0.2,90.4,51.0,Drizzle: light,evening,False,True
31.337457496482713,16.08893197145966,10.61293866012293,10.4816732267314,Stormers,Ospreys,2025-10-03 19:00:00,DHL Stadium,26.0,10.0,8.0,10.0,21.7,0.0,49.7,0.0,Clear,evening,True,True
22.981669027497382,19.729709847396293,12.099083091280818,12.640136545670918,Dragons RFC,Sharks,2025-10-03 21:05:00,Rodney Parade,17.0,17.0,14.0,17.0,17.5,1.7,139.7,61.0,Rain: slight,evening,False,True
,,,,Connacht,Scarlets,2025-10-04 02:00:00,Dexcom Stadium,,,,,9.4,0.5,147.6,53.0,Drizzle: moderate,evening,False,True
23.88872829120887,19.68222138399781,10.24193660310123,12.012184409778733,Benetton,Glasgow Warriors,2025-10-04 18:30:00,Stadio Comunale di Monigo,16.0,14.0,3.0,14.0,14.2,0.0,31.0,3.0,Overcast,evening,False,True
33.66962045252106,22.86189594756354,14.707715466672804,10.984359636217476,Bulls,Leinster,2025-10-04 18:30:00,Loftus Versfeld,39.0,31.0,22.0,10.0,20.0,0.0,25.2,2.0,Partly cloudy,evening,True,True
25.64422643232215,18.854648343998882,10.288839124213048,10.053531971599183,Munster,Cardiff,2025-10-04 20:45:00,Thomond Park,23.0,20.0,5.0,5.0,11.9,0.0,98.3,1.0,Mainly clear,evening,False,True
26.50606501047391,20.904865803951463,14.005109990699296,9.39135505039797,Zebre,Lions,2025-10-05 16:00:00,Stadio Sergio Lanfranchi,22.0,20.0,12.0,3.0,14.9,0.0,62.6,0.0,Clear,late_afternoon,False,True
22.509315149253933,19.943864020651077,10.819062846701414,11.925707009851068,Munster,Edinburgh,2025-10-10 20:45:00,Virgin Media Park,20.0,19.0,10.0,12.0,11.0,0.0,11.9,3.0,Overcast,evening,False,False
17.50061867989792,25.866598713728255,7.590244858194924,12.507586240118501,Scarlets,Stormers,2025-10-10 20:45:00,Parc y Scarlets,0.0,34.0,0.0,17.0,13.3,0.0,28.8,3.0,Overcast,evening,False,True
29.712532057380393,19.328687924820223,15.025511445736969,10.75852249115774,Benetton,Lions,2025-10-11 16:00:00,Stadio Comunale di Monigo,41.0,15.0,24.0,10.0,20.6,0.0,22.0,3.0,Overcast,late_afternoon,False,True
26.13801807575509,19.549973744845463,12.108858887646166,10.673410112083122,Ospreys,Zebre,2025-10-11 16:00:00,Brewery Field,24.0,0.0,14.0,0.0,14.5,0.0,35.3,3.0,Overcast,early_afternoon,False,False
33.85764547604231,15.935906599416164,13.724073565472985,8.940769927242384,Glasgow Warriors,Dragons RFC,2025-10-11 18:30:00,Scotstoun Stadium,49.0,0.0,14.0,0.0,14.1,0.0,27.7,1.0,Mainly clear,late_afternoon,False,True
29.86860942795447,16.622315198678685,15.613073771314703,11.394068368862563,Leinster,Sharks,2025-10-11 18:30:00,Aviva Stadium,31.0,5.0,21.0,5.0,10.7,0.0,11.2,3.0,Overcast,late_afternoon,False,True
27.237485135108873,15.712194418820458,11.778961880931098,10.434709101536395,Ulster,Bulls,2025-10-11 20:45:00,Affidea Stadium,28.0,7.0,7.0,7.0,9.0,0.0,2.5,3.0,Overcast,evening,False,True
23.373893925764865,16.138829237747867,12.304272809049595,9.190818924290742,Cardiff,Connacht,2025-10-11 20:45:00,Cardiff Arms Park,14.0,8.0,7.0,3.0,11.4,0.0,27.7,2.0,Partly cloudy,evening,False,True
27.75127828539244,14.511863561095655,13.903857873590828,7.380367677320524,Edinburgh,Benetton,2025-10-17 20:45:00,Hive Stadium,43.0,0.0,21.0,0.0,9.2,0.0,26.3,2.0,Partly cloudy,evening,False,True
24.510594812697644,20.147591685626008,9.819921920404301,10.441116930898433,Connacht,Bulls,2025-10-17 20:45:00,Dexcom Stadium,27.0,28.0,7.0,12.0,12.3,0.0,54.7,3.0,Overcast,evening,False,True
21.848659133030257,20.670699627116914,9.513415463024383,12.707733932796756,Dragons RFC,Cardiff,2025-10-17 20:45:00,Rodney Parade,17.0,24.0,7.0,17.0,13.5,0.0,45.0,3.0,Overcast,evening,False,True
32.9242123278024,22.25837742173155,11.93511685550504,10.563011797074033,Lions,Scarlets,2025-10-18 13:45:00,Ellis Park,29.0,18.0,5.0,3.0,16.7,0.1,64.8,51.0,Drizzle: light,early_afternoon,True,True
32.86528998015712,24.393280242771034,12.947160168517188,14.9124496782466,Sharks,Ulster,2025-10-18 16:00:00,Hollywoodbets Kings Park,26.0,34.0,5.0,20.0,23.6,0.0,108.7,3.0,Overcast,late_afternoon,True,True
23.475104211748835,22.898806994434953,11.328802587107935,13.803941448130878,Leinster,Munster,2025-10-18 18:15:00,Croke Park,14.0,31.0,7.0,21.0,13.5,0.0,101.5,3.0,Overcast,late_afternoon,False,False
18.65108077847902,24.92870049388539,10.095816181542043,11.062475716765837,Zebre,Stormers,2025-10-18 20:45:00,Stadio Sergio Lanfranchi,13.0,31.0,7.0,12.0,13.3,0.0,23.4,0.0,Clear,evening,False,True
21.00327060571268,24.02373902065108,10.055401702801696,12.674948415302524,Ospreys,Glasgow Warriors,2025-10-18 20:45:00,Brewery Field,17.0,42.0,10.0,21.0,12.3,0.2,104.8,51.0,Drizzle: light,evening,False,False
27.489198907039547,14.823998421870789,10.402646604596276,8.950126831329694,Glasgow Warriors,Bulls,2025-10-24 20:45:00,Scotstoun Stadium,21.0,12.0,7.0,5.0,9.1,0.0,62.6,3.0,Overcast,evening,False,True
36.582521323917526,24.370694771979636,13.118559165753265,13.853891639819013,Lions,Ulster,2025-10-25 13:45:00,Ellis Park,49.0,31.0,17.0,19.0,28.3,0.0,46.8,0.0,Clear,early_afternoon,True,True
32.523870509570685,22.392021148157628,13.756689311645017,13.846439629815505,Sharks,Scarlets,2025-10-25 16:00:00,Hollywoodbets Kings Park,29.0,19.0,19.0,14.0,27.3,0.0,63.0,0.0,Clear,late_afternoon,True,True
32.31342387627764,17.58892665970261,15.847360497502756,11.840587462336886,Leinster,Zebre,2025-10-25 18:30:00,Aviva Stadium,50.0,26.0,26.0,21.0,9.0,0.0,77.8,1.0,Mainly clear,late_afternoon,False,True
19.508369576533088,23.679592689767112,12.428928803575051,9.901787674003902,Benetton,Stormers,2025-10-25 18:30:00,Stadio Comunale di Monigo,16.0,31.0,16.0,8.0,12.8,0.0,14.4,2.0,Partly cloudy,evening,False,True
27.972308160379114,18.59919218196514,12.611438492957872,12.332188783926192,Dragons RFC,Ospreys,2025-10-25 18:30:00,Rodney Parade,19.0,19.0,7.0,12.0,8.8,0.0,70.2,1.0,Mainly clear,late_afternoon,False,True
23.134564507738585,16.326767226213168,10.866219353657025,10.863478817613219,Munster,Connacht,2025-10-25 20:45:00,Thomond Park,17.0,15.0,12.0,15.0,8.6,0.0,70.6,0.0,Clear,evening,False,True
24.919616507248293,16.234608346087928,12.881742060705555,10.67767598569793,Cardiff,Edinburgh,2025-10-25 20:45:00,Cardiff Arms Park,20.0,19.0,12.0,19.0,7.8,0.0,52.6,2.0,Partly cloudy,evening,False,True
,,,,Ulster,Benetton,2025-11-28 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Dragons RFC,Leinster,2025-11-28 21:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Bulls,Lions,2025-11-29 14:00:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Zebre,Cardiff,2025-11-29 15:00:00,Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Stormers,2025-11-29 19:30:00,Thomond Park,,,,,,,,,,late_afternoon,False,True
,,,,Edinburgh,Ospreys,2025-11-29 19:30:00,Hive Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Connacht,Sharks,2025-11-29 21:45:00,Dexcom Stadium,,,,,,,,,,evening,False,True
,,,,Scarlets,Glasgow Warriors,2025-11-29 21:45:00,Parc y Scarlets,,,,,,,,,,evening,False,True
,,,,Cardiff,Scarlets,2025-12-19 21:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Leinster,Ulster,2025-12-19 21:45:00,Aviva Stadium,,,,,,,,,,evening,False,True
,,,,Stormers,Lions,2025-12-20 15:30:00,DHL Stadium,,,,,,,,,,late_afternoon,True,True
,,,,Benetton,Zebre,2025-12-20 16:00:00,Stadio Comunale di Monigo,,,,,,,,,,late_afternoon,False,True
,,,,Glasgow Warriors,Edinburgh,2025-12-20 17:00:00,Hampden Park,,,,,,,,,,late_afternoon,False,False
,,,,Sharks,Bulls,2025-12-20 18:00:00,Hollywoodbets Kings Park,,,,,,,,,,evening,True,True
,,,,Ospreys,Munster,2025-12-20 19:30:00,Brewery Field,,,,,,,,,,late_afternoon,False,False
,,,,Dragons RFC,Connacht,2025-12-20 21:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Cardiff,Dragons RFC,2025-12-26 17:00:00,Cardiff Arms Park,,,,,,,,,,late_afternoon,False,True
,,,,Scarlets,Ospreys,2025-12-26 19:30:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Zebre,Benetton,2025-12-27 16:30:00,Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
,,,,Edinburgh,Glasgow Warriors,2025-12-27 17:00:00,Scottish Gas Murrayfield,,,,,,,,,,late_afternoon,False,False
,,,,Connacht,Ulster,2025-12-27 19:30:00,Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Leinster,2025-12-27 21:45:00,Thomond Park,,,,,,,,,,evening,False,True
,,,,Dragons RFC,Scarlets,2026-01-01 17:00:00,Rodney Parade,,,,,,,,,,late_afternoon,False,True
,,,,Ospreys,Cardiff,2026-01-01 19:30:00,Brewery Field,,,,,,,,,,late_afternoon,False,False
,,,,Ulster,Munster,2026-01-02 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Sharks,Lions,2026-01-03 15:30:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Bulls,2026-01-03 18:00:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Benetton,Edinburgh,2026-01-03 19:30:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Leinster,Connacht,2026-01-03 19:30:00,Aviva Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Glasgow Warriors,Zebre,2026-01-03 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Ospreys,Lions,2026-01-23 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Edinburgh,Bulls,2026-01-23 21:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Munster,Dragons RFC,2026-01-23 21:45:00,Virgin Media Park,,,,,,,,,,evening,False,False
,,,,Scarlets,Ulster,2026-01-24 17:00:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Connacht,Leinster,2026-01-24 19:30:00,Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Stormers,Sharks,2026-01-24 19:30:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Zebre,Glasgow Warriors,2026-01-24 21:45:00,Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
,,,,Cardiff,Benetton,2026-01-24 21:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Benetton,Scarlets,2026-01-30 21:45:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Glasgow Warriors,Munster,2026-01-30 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Bulls,2026-01-31 14:30:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Sharks,Stormers,2026-01-31 17:00:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Zebre,Connacht,2026-01-31 17:00:00,Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
,,,,Leinster,Edinburgh,2026-01-31 19:30:00,Aviva Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Ospreys,Dragons RFC,2026-01-31 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Ulster,Cardiff,2026-01-31 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Sharks,2026-02-21 14:00:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Edinburgh,Scarlets,2026-02-27 21:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Cardiff,Leinster,2026-02-27 21:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Lions,Stormers,2026-02-28 14:30:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Bulls,Sharks,2026-02-28 17:00:00,Loftus Versfeld,,,,,,,,,,late_afternoon,True,True
,,,,Connacht,Glasgow Warriors,2026-02-28 17:00:00,Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Zebre,2026-02-28 19:30:00,Thomond Park,,,,,,,,,,late_afternoon,False,True
,,,,Dragons RFC,Benetton,2026-02-28 19:30:00,Rodney Parade,,,,,,,,,,late_afternoon,False,True
,,,,Ospreys,Ulster,2026-02-28 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Bulls,Stormers,2026-03-14 14:00:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Bulls,Cardiff,2026-03-20 19:00:00,Loftus Versfeld,,,,,,,,,,evening,True,True
,,,,Scarlets,Zebre,2026-03-20 21:45:00,Parc y Scarlets,,,,,,,,,,evening,False,True
,,,,Ulster,Connacht,2026-03-20 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Edinburgh,2026-03-21 14:45:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Sharks,Munster,2026-03-21 17:00:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Benetton,Ospreys,2026-03-21 17:00:00,Stadio Comunale di Monigo,,,,,,,,,,late_afternoon,False,True
,,,,Glasgow Warriors,Leinster,2026-03-21 19:30:00,Scotstoun Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Stormers,Dragons RFC,2026-03-21 19:30:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Sharks,Cardiff,2026-03-27 19:00:00,Hollywoodbets Kings Park,,,,,,,,,,evening,True,True
,,,,Glasgow Warriors,Benetton,2026-03-27 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Bulls,Munster,2026-03-28 14:00:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Connacht,Ospreys,2026-03-28 16:15:00,Dexcom Stadium,,,,,,,,,,early_afternoon,False,True
,,,,Lions,Dragons RFC,2026-03-28 16:30:00,Ellis Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Edinburgh,2026-03-28 19:00:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Leinster,Scarlets,2026-03-28 19:30:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Zebre,Ulster,2026-03-28 21:45:00,Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
,,,,Edinburgh,Zebre,2026-04-17 20:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Ulster,Leinster,2026-04-17 20:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Dragons RFC,Bulls,2026-04-17 20:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Lions,Glasgow Warriors,2026-04-18 15:45:00,Ellis Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Connacht,2026-04-18 18:15:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Scarlets,Cardiff,2026-04-18 18:30:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Benetton,Munster,2026-04-18 20:45:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Ospreys,Sharks,2026-04-18 20:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Edinburgh,Sharks,2026-04-24 20:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Zebre,Dragons RFC,2026-04-24 20:45:00,Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
,,,,Cardiff,Ospreys,2026-04-24 20:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Lions,Connacht,2026-04-25 16:00:00,Ellis Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Glasgow Warriors,2026-04-25 18:30:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Munster,Ulster,2026-04-25 18:30:00,Thomond Park,,,,,,,,,,late_afternoon,False,True
,,,,Scarlets,Bulls,2026-04-25 20:45:00,Parc y Scarlets,,,,,,,,,,evening,False,True
,,,,Benetton,Leinster,2026-04-25 20:45:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Glasgow Warriors,Cardiff,2026-05-08 20:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Ulster,Stormers,2026-05-08 20:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Bulls,Zebre,2026-05-09 13:45:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Sharks,Benetton,2026-05-09 16:00:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Ospreys,Scarlets,2026-05-09 18:30:00,Brewery Field,,,,,,,,,,late_afternoon,False,False
,,,,Leinster,Lions,2026-05-09 18:30:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Dragons RFC,Edinburgh,2026-05-09 20:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Connacht,Munster,2026-05-09 20:45:00,Dexcom Stadium,,,,,,,,,,evening,False,True
,,,,Cardiff,Stormers,2026-05-15 20:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Ulster,Glasgow Warriors,2026-05-15 20:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Edinburgh,Connacht,2026-05-15 20:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Sharks,Zebre,2026-05-16 13:45:00,Hollywoodbets Kings Park,,,,,,,,,,early_afternoon,True,True
,,,,Bulls,Benetton,2026-05-16 16:00:00,Loftus Versfeld,,,,,,,,,,late_afternoon,True,True
,,,,Leinster,Ospreys,2026-05-16 18:15:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Scarlets,Dragons RFC,2026-05-16 18:15:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Lions,2026-05-16 20:45:00,Thomond Park,,,,,,,,,,evening,False,True
